CONGRESS_ID;ID_KU
293;1007
294;1007
295;1007
296;1007
297;1007
298;1007
299;1007
300;1007
301;1007
302;1007
303;1007
304;1007
305;1007
306;1007
307;1007
308;1007
309;1007
310;1007
311;1007
312;1007
313;1007
314;1007
315;1007
316;1007
317;1007
318;1007
319;1007
320;1007
321;1007
322;1007
323;1007
324;1007
325;1008
326;1008
327;1008
328;1008
329;1008
330;1008
331;1008
332;1008
333;1008
334;1008
335;1008
336;1008
337;1009
338;1009
339;1009
340;1009
341;1009
342;1009
343;1009
344;1009
345;1009
346;1009
347;1009
348;1009
349;1009
350;1009
351;1009
352;1009
353;1009
354;1009
355;1009
356;1009
357;1009
358;1009
359;1009
360;1009
361;1009
362;1009
363;1009
364;1009
365;1009
366;1009
367;1010
368;1010
369;1010
370;1010
371;1010
372;1010
373;1010
374;1010
375;1010
376;1010
377;1010
378;1011
379;1011
380;1011
381;1011
382;1011
383;1011
384;1011
385;1011
386;1011
387;1011
388;1011
389;1011
390;1011
391;1011
392;1011
393;1011
394;1011
395;1011
396;1011
397;1011
398;1011
399;1011
400;1011
401;1011
402;1011
403;1011
404;1011
405;1011
406;1011
407;1011
408;1011
409;1011
410;1011
411;1011
412;1011
413;1011
414;1011
415;1011
416;1011
417;1011
418;1011
419;1011
420;1011
421;1011
422;1011
423;1011
424;1011
425;1011
426;1011
427;1011
428;1011
429;1012
430;1012
431;1012
432;1012
433;1012
434;1013
435;1013
436;1013
437;1013
438;1013
439;1013
440;1013
441;1013
442;1013
443;1013
444;1013
445;1013
446;1013
447;1013
448;1013
449;1013
450;1013
451;1013
452;1013
453;1013
454;1013
455;1013
456;1013
457;1013
458;1013
459;1013
460;1013
461;1013
462;1013
463;1013
464;1013
465;1013
466;1013
467;1013
468;1013
469;1013
470;1013
471;1013
472;1013
473;1013
474;1013
475;1013
476;1013
477;1013
478;1013
479;1013
480;1013
481;1013
482;1013
483;1013
484;1013
485;1014
486;1014
487;1014
488;1014
489;1014
490;1014
491;1014
492;1014
493;1014
494;1014
495;1014
496;1014
497;1014
498;1015
499;1015
500;1015
501;1015
502;1015
503;1015
504;1015
505;1015
506;1015
507;1015
508;1015
509;1015
510;1015
511;1015
512;1015
513;1015
514;1015
515;1015
516;1015
517;1015
518;1015
519;1015
520;1015
521;1015
522;1015
523;1015
524;1015
525;1015
526;1015
527;1015
528;1015
529;1016
530;1016
531;1017
532;1017
533;1017
534;1017
535;1017
536;1017
537;1017
538;1017
539;1017
540;1017
541;1017
542;1017
543;1017
544;1017
545;1017
546;1017
547;1017
548;1017
549;1017
550;1017
551;1017
552;1017
553;1017
554;1017
555;1017
556;1017
557;1017
558;1017
559;1017
560;1017
561;1017
562;1018
563;1018
564;1018
565;1018
566;1018
567;1018
568;1018
569;1018
570;1018
571;1018
572;1018
573;1018
574;1018
575;1018
576;1018
577;1018
578;1018
579;1018
580;1018
581;1018
582;1018
583;1018
584;1018
585;1018
586;1018
587;1018
588;1018
589;1018
