ID_KU;ID_PAPER
1000;130000
1000;130001
1000;130002
1000;130003
1000;130004
1000;130005
1000;130006
1000;130007
1000;130008
1000;130009
1000;130010
1000;130011
1000;130012
1000;130013
1000;130014
1000;130015
1000;130016
1000;130017
1000;130018
1000;130019
1000;130020
1000;130021
1000;130022
1000;130023
1000;130024
1000;130025
1000;130026
1000;130027
1000;130028
1000;130029
1000;130030
1000;130031
1000;130032
1000;130033
1000;130034
1000;130035
1000;130036
1000;130037
1000;130038
1000;130039
1000;130040
1000;130041
1000;130042
1000;130043
1000;130044
1000;130045
1000;130046
1000;130047
1000;130048
1000;130049
1000;130050
1000;130051
1000;130052
1000;130053
1000;130054
1000;130055
1000;130056
1000;130057
1000;130058
1000;130059
1000;130060
1000;130061
1000;130062
1000;130063
1000;130064
1000;130065
1000;130066
1000;130067
1000;130068
1000;130069
1000;130070
1000;130071
1000;130072
1000;130073
1000;130074
1000;130075
1000;130076
1000;130077
1000;130078
1000;130079
1000;130080
1000;130081
1000;130082
1000;130083
1000;130084
1000;130085
1000;130086
1000;130087
1000;130088
1000;130089
1000;130090
1000;130091
1000;130092
1000;130093
1000;130094
1000;130095
1000;130096
1000;130097
1000;130098
1000;130099
1000;130100
1000;130101
1000;130102
1000;130103
1000;130104
1000;130105
1000;130106
1000;130107
1000;130108
1000;130109
1000;130110
1000;130111
1000;130112
1000;130113
1000;130114
1000;130115
1000;130116
1000;130117
1000;130118
1000;130119
1000;130120
1000;130121
1000;130122
1000;130123
1000;130124
1000;130125
1000;130126
1000;130127
1000;130128
1000;130129
1000;130130
1000;130131
1000;130132
1000;130133
1000;130134
1000;130135
1000;130136
1000;130137
1000;130138
1000;130139
1000;130140
1000;130141
1000;130142
1000;130143
1000;130144
1000;130145
1000;130146
1000;130147
1000;130148
1000;130149
1000;130150
1000;130151
1000;130152
1000;130153
1000;130154
1000;130155
1000;130156
1000;130157
1000;130158
1000;130159
1000;130160
1000;130161
1000;130162
1000;130163
1000;130164
1000;130165
1000;130166
1000;130167
1000;130168
1000;130169
1000;130170
1000;130171
1000;130172
1000;130173
1000;130174
1000;130175
1000;130176
1000;130177
1000;130178
1000;130179
1000;130180
1000;130181
1000;130182
1000;130183
1000;130184
1000;130185
1000;130186
1000;130187
1000;130188
1000;130189
1000;130190
1000;130191
1000;130192
1000;130193
1000;130194
1000;130195
1000;130196
1000;130197
1000;130198
1000;130199
1000;130200
1000;130201
1000;130202
1000;130203
1000;130204
1000;130205
1000;130206
1000;130207
1000;130208
1000;130209
1000;130210
1000;130211
1000;130212
1000;130213
1000;130214
1000;130215
1000;130216
1000;130217
1000;130218
1000;130219
1000;130220
1000;130221
1000;130222
1000;130223
1000;130224
1000;130225
1000;130226
1000;130227
1000;130228
1000;130229
1000;130230
1000;130231
1000;130232
1000;130233
1000;130234
1000;130235
1000;130236
1000;130237
1000;130238
1000;130239
1000;130240
1000;130241
1000;130242
1000;130243
1000;130244
1000;130245
1000;130246
1000;130247
1000;130248
1000;130249
1000;130250
1000;130251
1000;130252
1000;130253
1000;130254
1000;130255
1000;130256
1000;130257
1000;130258
1000;130259
1000;130260
1000;130261
1000;130262
1000;130263
1000;130264
1000;130265
1000;130266
1000;130267
1000;130268
1000;130269
1000;130270
1000;130271
1000;130272
1000;130273
1000;130274
1000;130275
1000;130276
1000;130277
1000;130278
1000;130279
1000;130280
1000;130281
1000;130282
1000;130283
1000;130284
1000;130285
1000;130286
1000;130287
1000;130288
1000;130289
1000;130290
1000;130291
1000;130292
1000;130293
1000;130294
1000;130295
1000;130296
1000;130297
1000;130298
1000;130299
1000;130300
1000;130301
1000;130302
1000;130303
1000;130304
1000;130305
1000;130306
1000;130307
1000;130308
1000;130309
1000;130310
1000;130311
1000;130312
1000;130313
1000;130314
1000;130315
1000;130316
1000;130317
1000;130318
1000;130319
1000;130320
1000;130321
1000;130322
1000;130323
1000;130324
1000;130325
1000;130326
1000;130327
1000;130328
1000;130329
1000;130330
1000;130331
1000;130332
1000;130333
1000;130334
1000;130335
1000;130336
1000;130337
1000;130338
1000;130339
1000;130340
1000;130341
1000;130342
1000;130343
1000;130344
1000;130345
1000;130346
1000;130347
1000;130348
1000;130349
1000;130350
1000;130351
1000;130352
1000;130353
1000;130354
1000;130355
1000;130356
1000;130357
1000;130358
1000;130359
1000;130360
1000;130361
1000;130362
1000;130363
1000;130364
1000;130365
1000;130366
1000;130367
1000;130368
1000;130369
1000;130370
1000;130371
1000;130372
1000;130373
1000;130374
1000;130375
1000;130376
1000;130377
1000;130378
1000;130379
1000;130380
1000;130381
1000;130382
1000;130383
1000;130384
1000;130385
1000;130386
1000;130387
1000;130388
1000;130389
1000;130390
1000;130391
1000;130392
1000;130393
1000;130394
1000;130395
1000;130396
1000;130397
1000;130398
1000;130399
1000;130400
1000;130401
1000;130402
1000;130403
1000;130404
1000;130405
1000;130406
1000;130407
1000;130408
1000;130409
1000;130410
1000;130411
1000;130412
1000;130413
1000;130414
1000;130415
1000;130416
1000;130417
1000;130418
1000;130419
1000;130420
1000;130421
1000;130422
1000;130423
1000;130424
1000;130425
1000;130426
1000;130427
1000;130428
1000;130429
1000;130430
1000;130431
1000;130432
1000;130433
1000;130434
1000;130435
1000;130436
1000;130437
1000;130438
1000;130439
1000;130440
1000;130441
1000;130442
1000;130443
1000;130444
1000;130445
1000;130446
1000;130447
1000;130448
1000;130449
1000;130450
1000;130451
1000;130452
1000;130453
1000;130454
1000;130455
1000;130456
1000;130457
1000;130458
1000;130459
1000;130460
1000;130461
1000;130462
1000;130463
1000;130464
1000;130465
1000;130466
1000;130467
1000;130468
1000;130469
1000;130470
1000;130471
1000;130472
1000;130473
1000;130474
1000;130475
1000;130476
1000;130477
1000;130478
1000;130479
1000;130480
1000;130481
1000;130482
1000;130483
1000;130484
1000;130485
1000;130486
1000;130487
1000;130488
1000;130489
1000;130490
1000;130491
1000;130492
1000;130493
1000;130494
1000;130495
1000;130496
1000;130497
1000;130498
1000;130499
1000;130500
1000;130501
1000;130502
1000;130503
1000;130504
1000;130505
1000;130506
1000;130507
1000;130508
1000;130509
1000;130510
1000;130511
1000;130512
1000;130513
1000;130514
1000;130515
1000;130516
1000;130517
1000;130518
1000;130519
1000;130520
1000;130521
1000;130522
1000;130523
1000;130524
1000;130525
1000;130526
1000;130527
1000;130528
1000;130529
1000;130530
1000;130531
1000;130532
1000;130533
1000;130534
1000;130535
1000;130536
1000;130537
1000;130538
1000;130539
1000;130540
1000;130541
1000;130542
1000;130543
1000;130544
1000;130545
1000;130546
1000;130547
1000;130548
1000;130549
1000;130550
1000;130551
1000;130552
1000;130553
1000;130554
1000;130555
1000;130556
1000;130557
1000;130558
1000;130559
1000;130560
1000;130561
1000;130562
1000;130563
1000;130564
1000;130565
1000;130566
1000;130567
1000;130568
1000;130569
1000;130570
1000;130571
1000;130572
1000;130573
1000;130574
1000;130575
1000;130576
1000;130577
1000;130578
1000;130579
1000;130580
1000;130581
1000;130582
1000;130583
1000;130584
1000;130585
1000;130586
1000;130587
1000;130588
1000;130589
1000;130590
1000;130591
1000;130592
1000;130593
1000;130594
1000;130595
1000;130596
1000;130597
1000;130598
1000;130599
1000;130600
1000;130601
1000;130602
1000;130603
1000;130604
1000;130605
1000;130606
1000;130607
1000;130608
1000;130609
1000;130610
1000;130611
1000;130612
1000;130613
1000;130614
1000;130615
1000;130616
1000;130617
1000;130618
1000;130619
1000;130620
1000;130621
1000;130622
1000;130623
1000;130624
1000;130625
1000;130626
1000;130627
1000;130628
1000;130629
1000;130630
1000;130631
1000;130632
1000;130633
1000;130634
1000;130635
1000;130636
1000;130637
1000;130638
1000;130639
1000;130640
1000;130641
1000;130642
1000;130643
1000;130644
1000;130645
1000;130646
1000;130647
1000;130648
1000;130649
1000;130650
1000;130651
1000;130652
1000;130653
1000;130654
1000;130655
1000;130656
1000;130657
1000;130658
1000;130659
1000;130660
1000;130661
1000;130662
1000;130663
1000;130664
1000;130665
1000;130666
1000;130667
1000;130668
1000;130669
1000;130670
1000;130671
1000;130672
1000;130673
1000;130674
1000;130675
1000;130676
1000;130677
1000;130678
1000;130679
1000;130680
1000;130681
1000;130682
1000;130683
1000;130684
1000;130685
1000;130686
1000;130687
1000;130688
1000;130689
1000;130690
1000;130691
1000;130692
1000;130693
1000;130694
1000;130695
1000;130696
1000;130697
1000;130698
1000;130699
1000;130700
1000;130701
1000;130702
1000;130703
1000;130704
1000;130705
1000;130706
1000;130707
1000;130708
1000;130709
1000;130710
1000;130711
1000;130712
1000;130713
1000;130714
1000;130715
1000;130716
1000;130717
1000;130718
1000;130719
1000;130720
1000;130721
1000;130722
1000;130723
1000;130724
1000;130725
1000;130726
1000;130727
1000;130728
1000;130729
1000;130730
1000;130731
1000;130732
1000;130733
1000;130734
1000;130735
1000;130736
1000;130737
1000;130738
1000;130739
1000;130740
1000;130741
1000;130742
1000;130743
1000;130744
1000;130745
1000;130746
1000;130747
1000;130748
1000;130749
1000;130750
1000;130751
1000;130752
1000;130753
1000;130754
1000;130755
1000;130756
1000;130757
1000;130758
1000;130759
1000;130760
1000;130761
1000;130762
1000;130763
1000;130764
1000;130765
1000;130766
1000;130767
1000;130768
1000;130769
1000;130770
1000;130771
1000;130772
1000;130773
1000;130774
1000;130775
1000;130776
1000;130777
1000;130778
1000;130779
1000;130780
1000;130781
1000;130782
1000;130783
1000;130784
1000;130785
1000;130786
1000;130787
1000;130788
1000;130789
1000;130790
1000;130791
1000;130792
1000;130793
1000;130794
1000;130795
1000;130796
1000;130797
1000;130798
1000;130799
1000;130800
1000;130801
1000;130802
1000;130803
1000;130804
1000;130805
1000;130806
1000;130807
1000;130808
1000;130809
1000;130810
1000;130811
1000;130812
1000;130813
1000;130814
1000;130815
1000;130816
1000;130817
1000;130818
1000;130819
1000;130820
1000;130821
1000;130822
1000;130823
1000;130824
1000;130825
1000;130826
1000;130827
1000;130828
1000;130829
1000;130830
1000;130831
1000;130832
1000;130833
1000;130834
1000;130835
1000;130836
1000;130837
1000;130838
1000;130839
1000;130840
1000;130841
1000;130842
1000;130843
1000;130844
1000;130845
1000;130846
1000;130847
1000;130848
1000;130849
1000;130850
1000;130851
1000;130852
1000;130853
1000;130854
1000;130855
1000;130856
1000;130857
1000;130858
1000;130859
1000;130860
1000;130861
1000;130862
1000;130863
1000;130864
1000;130865
1000;130866
1000;130867
1000;130868
1000;130869
1000;130870
1000;130871
1000;130872
1000;130873
1000;130874
1000;130875
1000;130876
1000;130877
1000;130878
1000;130879
1000;130880
1000;130881
1000;130882
1000;130883
1000;130884
1000;130885
1000;130886
1000;130887
1000;130888
1000;130889
1000;130890
1000;130891
1000;130892
1000;130893
1000;130894
1000;130895
1000;130896
1000;130897
1000;130898
1000;130899
1000;130900
1000;130901
1000;130902
1000;130903
1000;130904
1000;130905
1000;130906
1000;130907
1000;130908
1000;130909
1000;130910
1000;130911
1000;130912
1000;130913
1000;130914
1000;130915
1000;130916
1000;130917
1000;130918
1000;130919
1000;130920
1000;130921
1000;130922
1000;130923
1000;130924
1000;130925
1000;130926
1000;130927
1000;130928
1000;130929
1000;130930
1000;130931
1000;130932
1000;130933
1000;130934
1000;130935
1000;130936
1000;130937
1000;130938
1000;130939
1000;130940
1000;130941
1000;130942
1000;130943
1000;130944
1000;130945
1000;130946
1000;130947
1000;130948
1000;130949
1000;130950
1000;130951
1000;130952
1000;130953
1000;130954
1000;130955
1000;130956
1000;130957
1000;130958
1000;130959
1000;130960
1000;130961
1000;130962
1000;130963
1000;130964
1000;130965
1000;130966
1000;130967
1000;130968
1000;130969
1000;130970
1000;130971
1000;130972
1000;130973
1000;130974
1000;130975
1000;130976
1000;130977
1000;130978
1000;130979
1000;130980
1000;130981
1000;130982
1000;130983
1000;130984
1000;130985
1000;130986
1000;130987
1000;130988
1000;130989
1000;130990
1000;130991
1000;130992
1000;130993
1000;130994
1000;130995
1000;130996
1000;130997
1000;130998
1000;130999
1000;131000
1000;131001
1000;131002
1000;131003
1000;131004
1000;131005
1000;131006
1000;131007
1000;131008
1000;131009
1000;131010
1000;131011
1000;131012
1000;131013
1000;131014
1000;131015
1000;131016
1000;131017
1000;131018
1000;131019
1000;131020
1000;131021
1000;131022
1000;131023
1000;131024
1000;131025
1000;131026
1000;131027
1000;131028
1000;131029
1000;131030
1000;131031
1000;131032
1000;131033
1000;131034
1000;131035
1000;131036
1000;131037
1000;131038
1000;131039
1000;131040
1000;131041
1000;131042
1000;131043
1000;131044
1000;131045
